"county","total_new_cases","month","year","hospitalizations","vaccinations"
"Potter County",493,"March",2022,252,1642885
"Presidio County",14,"March",2022,0,214320
"Rains County",8,"March",2022,2337,142654
"Randall County",157,"March",2022,252,1964443
"Reagan County",2,"March",2022,12,46354
"Real County",3,"March",2022,20,53262
"Red River County",52,"March",2022,6,153231
"Reeves County",28,"March",2022,234,275902
"Refugio County",15,"March",2022,204,115715
"Roberts County",4,"March",2022,0,9068
"Robertson County",25,"March",2022,75,234134
"Rockwall County",216,"March",2022,2337,1889122
"Runnels County",25,"March",2022,12,140727
"Rusk County",217,"March",2022,61,647511
"Sabine County",13,"March",2022,40,119959
"San Augustine County",25,"March",2022,40,103039
"San Jacinto County",197,"March",2022,4785,306240
"San Patricio County",70,"March",2022,646,1145828
"San Saba County",5,"March",2022,0,70556
"Schleicher County",2,"March",2022,12,36523
"Scurry County",10,"March",2022,1,243148
"Shackelford County",40,"March",2022,52,37705
"Shelby County",97,"March",2022,40,280780
"Sherman County",7,"March",2022,252,32138
"Smith County",175,"March",2022,650,3291111
"Somervell County",8,"March",2022,1066,128036
"Starr County",406,"March",2022,767,1832481
"Stephens County",35,"March",2022,52,105657
"Sterling County",0,"March",2022,12,16117
"Stonewall County",3,"March",2022,52,16812
"Sutton County",7,"March",2022,12,50857
"Swisher County",41,"March",2022,252,93755
"Tarrant County",4860,"March",2022,1066,36487053
"Taylor County",549,"March",2022,52,2139768
"Terrell County",4,"March",2022,44,12696
"Terry County",223,"March",2022,4,159859
"Throckmorton County",2,"March",2022,115,19012
"Titus County",214,"March",2022,14,393370
"Tom Green County",121,"March",2022,12,1856296
"Travis County",2490,"March",2022,689,27302728
"Trinity County",85,"March",2022,127,178581
"Tyler County",27,"March",2022,172,242480
"Upshur County",171,"March",2022,61,438123
"Upton County",2,"March",2022,44,46051
"Uvalde County",55,"March",2022,8,451117
"Val Verde County",71,"March",2022,4,1005193
"Van Zandt County",36,"March",2022,650,659741
"Victoria County",178,"March",2022,204,1379055
"Walker County",159,"March",2022,127,1081185
"Waller County",172,"March",2022,4785,709423
"Ward County",19,"March",2022,234,132040
"Washington County",221,"March",2022,75,559474
"Webb County",950,"March",2022,159,8300900
"Wharton County",369,"March",2022,49,644515
"Wheeler County",17,"March",2022,0,66497
"Wichita County",118,"March",2022,115,2145050
"Wilbarger County",19,"March",2022,0,205030
"Willacy County",165,"March",2022,313,427012
"Williamson County",1474,"March",2022,689,12433250
"Wilson County",295,"March",2022,2167,847551
"Winkler County",7,"March",2022,234,95505
"Wise County",166,"March",2022,283,840758
"Wood County",34,"March",2022,650,601546
"Yoakum County",162,"March",2022,4,108036
"Young County",44,"March",2022,115,230605
"Zapata County",46,"March",2022,159,261881
"Zavala County",28,"March",2022,2167,208263
"Anderson County",62,"March",2023,5,116960
"Andrews County",13,"March",2023,2,42328
"Angelina County",78,"March",2023,62,206098
"Aransas County",22,"March",2023,374,68293
"Archer County",13,"March",2023,75,25791
"Armstrong County",2,"March",2023,145,3800
"Atascosa County",70,"March",2023,1015,136997
"Austin County",32,"March",2023,3810,72206
"Bailey County",3,"March",2023,143,13617
"Bandera County",43,"March",2023,1015,60315
"Bastrop County",189,"March",2023,431,265435
"Baylor County",4,"March",2023,75,7179
"Bee County",64,"March",2023,2,84690
"Bell County",472,"March",2023,147,1143094
"Bexar County",3550,"March",2023,1015,7281904
"Blanco County",22,"March",2023,26,34620
"Borden County",0,"March",2023,143,994
"Bosque County",23,"March",2023,75,42519
"Bowie County",181,"March",2023,56,189636
"Brazoria County",614,"March",2023,27,1125340
"Brazos County",449,"March",2023,107,603534
"Brewster County",4,"March",2023,0,26056
"Briscoe County",5,"March",2023,145,3321
"Brooks County",13,"March",2023,374,35702
"Brown County",87,"March",2023,8,79279
"Burleson County",45,"March",2023,107,45962
"Burnet County",47,"March",2023,431,132875
"Caldwell County",93,"March",2023,71,126395
"Calhoun County",45,"March",2023,55,55156
"Callahan County",25,"March",2023,44,29686
"Cameron County",1220,"March",2023,233,1729525
"Camp County",46,"March",2023,13,26843
"Carson County",8,"March",2023,145,10693
"Cass County",92,"March",2023,0,54235
"Castro County",26,"March",2023,2,16749
"Chambers County",152,"March",2023,3810,107531
"Cherokee County",114,"March",2023,5,106119
"Childress County",18,"March",2023,1,17465
"Clay County",15,"March",2023,75,23714
"Cochran County",2,"March",2023,143,5566
"Coke County",3,"March",2023,55,8132
"Coleman County",19,"March",2023,8,14979
"Collin County",1924,"March",2023,1592,3597831
"Collingsworth County",4,"March",2023,0,4985
"Colorado County",61,"March",2023,0,55597
"Comal County",201,"March",2023,2,500757
"Comanche County",5,"March",2023,0,31891
"Concho County",22,"March",2023,55,7168
"Cooke County",57,"March",2023,176,80122
"Coryell County",119,"March",2023,147,188407
"Cottle County",7,"March",2023,1,2214
"Crane County",8,"March",2023,75,8997
"Crockett County",16,"March",2023,55,8252
"Crosby County",26,"March",2023,143,12463
"Culberson County",7,"March",2023,381,5657
"Dallam County",1,"March",2023,145,16248
"Dallas County",4319,"March",2023,1592,8175393
"Dawson County",29,"March",2023,143,21894
"Deaf Smith County",51,"March",2023,1,40750
"Delta County",11,"March",2023,7,9508
"Denton County",1379,"March",2023,176,2787301
"DeWitt County",7,"March",2023,55,46407
"Dickens County",1,"March",2023,143,3606
"Dimmit County",13,"March",2023,1,36002
"Donley County",12,"March",2023,145,5542
"Duval County",12,"March",2023,374,35708
"Eastland County",12,"March",2023,44,34202
"Ector County",310,"March",2023,75,365420
"Edwards County",37,"March",2023,26,8635
"Ellis County",272,"March",2023,1592,515839
"El Paso County",1294,"March",2023,381,3607799
"Erath County",76,"March",2023,0,81536
"Falls County",19,"March",2023,75,40404
"Fannin County",54,"March",2023,64,80521
"Fayette County",26,"March",2023,0,63275
"Fisher County",7,"March",2023,2,6987
"Floyd County",14,"March",2023,2,12939
"Foard County",0,"March",2023,9,2447
"Fort Bend County",1290,"March",2023,3810,3013031
"Franklin County",12,"March",2023,13,19712
"Freestone County",20,"March",2023,0,38767
"Frio County",27,"March",2023,1015,71062
"Gaines County",44,"March",2023,2,23858
"Galveston County",704,"March",2023,70,1057414
"Garza County",9,"March",2023,143,16281
"Gillespie County",35,"March",2023,26,74187
"Glasscock County",1,"March",2023,0,3154
"Goliad County",11,"March",2023,55,16357
"Gonzales County",25,"March",2023,1015,53104
"Gray County",69,"March",2023,7,45221
"Grayson County",170,"March",2023,64,316132
"Gregg County",184,"March",2023,148,286693
"Grimes County",49,"March",2023,107,78871
"Guadalupe County",202,"March",2023,1015,475331
"Hale County",91,"March",2023,2,73434
"Hall County",14,"March",2023,1,6439
"Hamilton County",7,"March",2023,75,21159
"Hansford County",41,"March",2023,145,11561
"Hardeman County",4,"March",2023,9,9190
"Hardin County",125,"March",2023,93,110320
"Harris County",6935,"March",2023,3810,15498386
"Harrison County",120,"March",2023,0,137000
"Hartley County",1,"March",2023,145,13257
"Haskell County",11,"March",2023,44,11065
